Trip to New York,"The City of New York, often called New York City or simply New York, is the most populous city in the United States. With an estimated 2016 population of 8,537,673 distributed over a land area of about 302.6 square miles (784 km2), New York City is also the most densely populated major city in the United States. Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, one of the most populous urban agglomerations in the world with an estimated 23.7 million residents as of 2016. A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports. The city's fast pace defines the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy.",newyorkskyline.jpg,1
Trip To Berlin,"Berlin is the capital and the largest city of Germany as well as one of its 16 constituent states. With a population of approximately 3.7 million, Berlin is the second most populous city proper in the European Union and the seventh most populous urban area in the European Union. Located in northeastern Germany on the banks of the rivers Spree and Havel, it is the centre of the Berlin-Brandenburg Metropolitan Region, which has roughly 6 million residents from more than 180 nations. Due to its location in the European Plain, Berlin is influenced by a temperate seasonal climate. Around one-third of the city's area is composed of forests, parks, gardens, rivers, canals and lakes.",berlin.jpg,2
"The Plaza, 5th Avenue","The Plaza Hotel, located in the Midtown Manhattan neighborhood of the borough of Manhattan, New York City, is a landmark 20-story luxury hotel and condominium apartment building, opened in 1907 and now owned by an Indian conglomerate, Sahara India Pariwar. With a height of 250 ft (76 m) and a length of 400 ft (120 m), the hotel occupies the west side of Grand Army Plaza, from which it derives its name, and extends along Central Park South in Manhattan. Fifth Avenue extends along the east side of Grand Army Plaza. The Plaza Hotel is recognized as a Historic Hotel of America by the National Trust for Historic Preservation. The hotel's main entrance at 768 Fifth Avenue faces the southern portion of Grand Army Plaza, which commemorates the Union Army in the Civil War, whence its eponymous predecessor derived its name.",plaza.jpg,3
DeKalb Avenue Subway Station,"DeKalb Avenue is a local station shared by the BMT Fourth Avenue Line and the BMT Brighton Line of the New York City Subway, located at the intersection of DeKalb and Flatbush Avenues in Brooklyn. It is served by the Q and R train at all times, the B train on weekdays, and the D and N trains during late nights. During rush hours only, a few W train trips in the peak direction also serve this station.",dekalb.jpeg,4
Yellow Cab,"The taxicabs of New York City are widely recognized icons of the city and come in two varieties: yellow and green. Taxis painted canary yellow (medallion taxis) are able to pick up passengers anywhere in the five boroughs. Those painted apple green (street hail livery vehicles, commonly known as ""boro taxis""), which began to appear in August 2013, are allowed to pick up passengers in Upper Manhattan, the Bronx, Brooklyn, Queens (excluding LaGuardia Airport and John F. Kennedy International Airport), and Staten Island. Both types have the same fare structure. Taxicabs are operated by private companies and licensed by the New York City Taxi and Limousine Commission (TLC). It also oversees over 40,000 other for-hire vehicles, including ""black cars"", commuter vans and ambulettes.",yellowcab.jpeg,5
The New School,"The New School is a private non-profit research university centered in Manhattan, New York City, USA, located mostly in Greenwich Village. It was founded in 1919 as The New School for Social Research, an institution dedicated to academic freedom and intellectual inquiry, serving as a home for progressive thinkers. Since then, the school has grown to house five divisions within the university. These include the Parsons School of Design, the Eugene Lang College of Liberal Arts, The New School for Social Research, the College of Performing Arts, and the Schools of Public Engagement. In addition, the university maintains the Parsons Paris campus and has also launched or housed a range of institutions, such as the international research institute World Policy Institute, the Vera List Center for Art and Politics, the India China Institute, the Observatory on Latin America, and the Center for New York City Affairs. Its faculty and alumni include numerous notable designers, writers, musicians, artists, and political activists. Approximately 10,000 students are enrolled in postgraduate and undergraduate programs and disciplines including social sciences, liberal arts, humanities, architecture, fine arts, design, music, drama, finance, psychology, and public policy.",newschool.jpeg,6
Dumbo,"Dumbo (or DUMBO, short for Down Under the Manhattan Bridge Overpass) is a neighborhood in the New York City borough of Brooklyn. The area known as DUMBO used to be known as Gairville. It encompasses two sections: one located between the Manhattan and Brooklyn Bridges, which connect Brooklyn to Manhattan across the East River, and another that continues east from the Manhattan Bridge to the Vinegar Hill area. The neighborhood is bounded by Brooklyn Bridge Park to the north, the Brooklyn Bridge to the west, Brooklyn Heights to the south and Vinegar Hill to the east. Dumbo is part of Brooklyn Community Board 2.",dumbo.jpeg,1
SoHo,"SoHo, sometimes written Soho, is a neighborhood in Lower Manhattan, New York City, which in recent history came to the public's attention for being the location of many artists' lofts and art galleries, but is now better known for its variety of shops ranging from trendy upscale boutiques to national and international chain store outlets. The area's history is an archetypal example of inner-city regeneration and gentrification, encompassing socioeconomic, cultural, political, and architectural developments. The name ""SoHo"" refers to the area being ""South of Houston Street"", and was also a reference to Soho, an area in London's West End. It was coined by Chester Rapkin, an urban planner and author of The South Houston Industrial Area study, also known as the ""Rapkin Report"". This began a naming convention that became a model for the names of emerging and re-purposed neighborhoods in New York such as TriBeCa for ""Triangle Below Canal Street"", DUMBO (""Down Under the Manhattan Bridge Overpass""), NoHo (""North of Houston Street""), NoLIta (""North of Little Italy"") and NoMad (""North of Madison Square""), among others.",soho.jpeg,2
Midtown,"Midtown Manhattan, or Midtown, represents the central lengthwise portion of the borough and island of Manhattan in New York City. Midtown is home to some of the city's most iconic buildings, including the Empire State Building, the Chrysler Building, and the headquarters of the United Nations, and it contains world-renowned commercial zones such as Rockefeller Center, Broadway, and Times Square. Midtown Manhattan is the largest central business district in the world and ranks among the most expensive and intensely used pieces of real estate in the world, and Fifth Avenue in Midtown Manhattan commands the world's highest retail rents, at US$3,000 per square foot ($32,000/m2) in 2017. While Lower Manhattan is the main financial center, Midtown is the country's largest commercial, entertainment, and media center. It is also a growing financial center, second in importance only to Lower Manhattan's Financial District in the United States. The majority of New York City's skyscrapers, including its tallest hotels and apartment towers, lie within Midtown. The area hosts commuters and residents working in its offices, hotels, and retail establishments and is populated by many tourists, visiting residents, and students. Times Square, iconic as the world's ""heart"" and its ""Crossroads"", is the brightly illuminated hub of the Broadway Theater District, one of the world's busiest pedestrian intersections, and a major center of the world's entertainment industry. The Avenue of the Americas holds the headquarters of three of the four major U.S. television networks.",midtown.jpg,3
Columbus Circle,"Columbus Circle is a traffic circle and heavily trafficked intersection in the New York City borough of Manhattan, located at the intersection of Eighth Avenue, Broadway, Central Park South (West 59th Street), and Central Park West, at the southwest corner of Central Park. The circle is the point from which official highway distances from New York City are measured, as well as the center of the 25 miles (40 km) restricted-travel area for C-2 visa holders. The circle is named after the monument of Christopher Columbus in the center. The name is also used for the neighborhood a few blocks around the circle in each direction. To the south of the circle lies Hell's Kitchen, also known as ""Clinton"", and the Theater District, and to the north is the Upper West Side.",columbuscircle.jpg,4
